GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ms-geolocalizacion,com.sanosysalvos.geolocalizacion.model,MascotaGeo,3,0,0,0,1,0,1,0,1,0
ms-geolocalizacion,com.sanosysalvos.geolocalizacion.service,GeolocService,39,43,4,2,9,8,5,3,3,2
ms-geolocalizacion,com.sanosysalvos.geolocalizacion.controller,GeolocController,20,0,0,0,4,0,4,0,4,0
ms-geolocalizacion,com.sanosysalvos.geolocalizacion,GeolocalizacionApplication,8,0,0,0,3,0,2,0,2,0
