GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ms-motor-coincidencias,com.sanosysalvos.motor.controller,MotorController,24,0,0,0,5,0,3,0,3,0
ms-motor-coincidencias,com.sanosysalvos.motor,MotorApplication,8,0,0,0,3,0,2,0,2,0
ms-motor-coincidencias,com.sanosysalvos.motor.model,Mascota,3,0,0,0,1,0,1,0,1,0
ms-motor-coincidencias,com.sanosysalvos.motor.model,Coincidencia,14,0,4,0,5,0,3,0,1,0
ms-motor-coincidencias,com.sanosysalvos.motor.pattern,ScoringAlgorithm,1,142,9,21,1,26,9,9,0,3
ms-motor-coincidencias,com.sanosysalvos.motor.service,MotorService,126,256,11,21,19,49,10,15,2,7
